DBA	LOCATION
AC AT NOTRE DAME HS	320 E RIPA AVE
HOPE MONTESSORI ACAD IT	830 N MASON RD
STRAUBS MASON	13414 CLAYTON RD
HI CHICKEN ENTERPRISE CTR	1401 CLARK AVE
STRAUB'S KINGSHIGHWAY	302 N KINGSHIGHWAY
BEFFA'S BAR & RESTAURANT	2700 OLIVE ST
CRABS LANDING	701 N TUCKER BLVD
THE MEXICAN STL	9615 WATSON ROAD
MARYGROVE  PMR	2705 MULLANPHY
EL MAGUEY DUNN ROAD	3407 DUNN RD
SUGARFIRE FLORISSANT	1290 NORTH HIGHWAY 67
PLAZA LANES PUB & GRUB	506 DROSTE RD
TWO PLUMBERS BREWERY AND	745 FRIEDENS RD
SAULLO'S RESTAURANT	2778 MUEGGE ROAD
PIOS INC	403 FIRST CAPITOL DRIVE
STL BUDWEISER BREW HOUSE	601 CLARK STREET
ECI SPORTS & SOCIAL STL	651 CLARK ST
GOLDEN OAK PAN HS SHREW	7289 WATSON RD
STEWS	1862 S 10TH ST
ICES PLAIN & FANCY	2256 S 39TH ST
TONYS DONUTS DORSETT	11525 DORSETT RD
LA BONNE BOUCHEE WHOLESAL	1889 CRAIG ROAD
HOLIDAY INN AIRPORT WEST	3400 RIDER TRL S
EL MAGUEY BALLWIN	14501 MANCHESTER RD
TWISTED ROLLS	14640 MANCHESTER RD
KOIBITO POKE DES PERES	13275 MANCHESTER RD
KREIS RESTAURANT	535 SOUTH LINDBERGH
AC INCARNATE WORD ACADEMY	2788 NORMANDY DR
SOMO HAWTHORN REC THERAPY	1901 PENNSYLVANIA AVE
ST LOUIS CORP CTR	4333 GOODFELLOW BLVD
RONS UNION	4901 UNION BLVD
TESLA PONTOON BEACH	1202 TRADEPORT PKWY
REID'S HARVEST HOUSE	2441 STATE ST
RED BUD WINERY	214 MAIN ST
TEQUILA OF RED BUD	1030 MAIN STREET
VINTAGE WINE BAR WATERLOO	212 S MAIN ST
GENO'S TRATTORIA CHOPHOUS	114 W MILL ST
ANNBRIAR GOLF	1524 BIRDIE LN
SOMO CAMP AVERY	198 AVERY LANE
DON JULIOS 2	3 LINCOLN CTR
SILVER PANCAKE HOUSE	9983 MANCHESTER RD
KOIBITO POKE WARSON WOODS	9953 MANCHESTER RD
NACHOMAMA MEX REST	9643 MANCHESTER RD
SEVEN GABLES INN	26 N MERAMEC AVE
CASA DIA MONTESSORI KIN	610 KINSWOOD LN
TAKERIOS	5828 S LINDBERGH BLVD
METABOLIC MEALS	464 BUSSEN UNDERGROUND RD
SPIKES PUB AND GRUB	3701 W MAIN ST
BELLEVILLE PANCAKE HOUSE	3605 N BELT W
SCHATZES	2301 E MAIN ST
THE ORCHARDS GOLF CLUB	1499 GOLF COURSE DR
COPPER FIRE	200 E MAIN ST
BELLEVILLE #201 WEST	4063 FRANK SCOTT PARKWAY
SAUCYS PIZZERIA CATAWISSA	115 AMBER WAY DR
VLR HIDDEN VALLEY CAFE	17410 HIDDEN VALLEY DR
COMPANY B BBQ	4583 HUNTER LANE
ROTHSCHILDS RESTAURANT	1026 EAST FIFTH ST
CONCERT HALL & BARREL	206 E FIRST ST
AINSLEYS PLACE	127 E 4TH ST
WINGS A BLAZIN INC	120 E 4TH ST
DOS PRIMOS HERMANN	2072 VILLAGE LN
3 OAKS - NEW HORIZON	5035 MANCHESTER AVE
HWY 47 KITCHEN	703 WARRIOR AVENUE
BAYMONT INN & SUITES	425 E VETERANS PARKWAY
T AND D TAVERN	3152 HIGHWAY T
NATOLI ENGINEERING CO INC	28 RESEARCH PARK CIRCLE
PARKSIDE GRILLE	505 STRECKER RD
THE ELEGANT CHILD LEARNIN	513 STRECKER RD
OISHI STEAK AND SUSHI	100 PUBLIC WORKS DRIVE
GOLDEN OAK SWANSEA	4519 N ILLINOIS ST
GRAND MANOR SWANSEA LLC	58 FRANK SCOTT PARKWAY E
HILTON GARDEN INN OFALLON	360 REGENCY PARK
FRANKS RESTAURANT	200 LINCOLN HWY
BEST WESTERN FAIRVIEW HEI	150 LUDWIG DR
CRAFTY CRAB IL	51 LUDWIG DR
THE CHUCK WAGON	10212 LINCOLN TRL
MANNINO MARKET TOO	5023 HWY P
CECIL WHITTAKERS WENTZVIL	1155 WENTZVILLE PKWY
MILLWOODS SPORTS BAR WENT	1827 W PEARCE BLVD
SOMO WENTZVILLE ICE ARENA	910 MAIN PLAZA DR
DOG PRAIRIE TAVERN	2348 SAINT PAUL RD
MARIOS CAFE	107 OFALLON PLZ
OB SLICES	4 E BROADWAY
THE OLD BAKERY BEER COMPA	401 LANDMARKS BLVD
BETHALTO EL MEZCAL	705 TEXAS BLVD
BEST WESTERN PREM ALTON	3559 COLLEGE AVE
CMPS GARDEN PL MILLSTAD	208 SOUTH KOSSUTH
CMPS REF AT GARDEN PL	710 S MAIN ST
LOOSE ENDS	7157 ILLINOIS 158
JOE BOCCARDIS PIZZERIA	117 S. MAIN
EL PASO MX COCINA	230 N MAIN ST
GRAFTON OYSTER BAR	215 W WATER ST
SOUTHERN COASTAL CUISINE	1415 WEST MAIN STREET
MINI CORRAL	3030 GODFREY RD
ABUNDANT LIFE COMMUNITY C	3986 HUMBERT RD
AMVET POST 42	690 JOACHIM AVE
COYOL MEXICAN BAR GRIL	12967 STATE ROAD 21
SC MASCOUTAH REHAB & NRSN	201 S 10TH ST
TAILWIND BLV	9656 AIR TERMINAL DR #100
ST JOSEPH CATHOLIC CHURCH	901 N. ALTON
LUCKY ROOSTER PUB AND EAT	101 W MAIN
E L FLANAGANS SPORTS	2635 PLAZA DRIVE
BROADWAY BAR & GRILL	1013 BROADWAY
SAMS PIZZA	1017 BROADWAY
HIGHLAND DINER	418 WALNUT ST
MEXICO TIPICO	501 S MADISON
CAE #903 EUREKA	76 LEGENDS PARKWAY
HOLIDAY INN @ SIX FLAGS	4901 SIX FLAGS ROAD
SAUCYS HIGH RIDGE	1630 GRAVOIS RD
KNIGHTS OF COLUMBUS 10154	405 S CHURCH ST
GOOD COMPANY	4317 MANCHESTER AVE
PRESS WAFFLE PNTO	3730 FOUNDRY WAY # 11
LITTLE FOX PNTO	2800 SHENANDOAH AVE
HARTFORD COFFEE CO PNTO	3974 HARTFORD ST
PIZZERIA DA GLORIA PNTO	2024 MARCONI AVE
BIG A'S ON RIVER PNTO	308 N MAIN STREET
DD MAU PNTO	11982 DORSETT RD
LA TEJANA PNTO	3149 N LINDBERGH BLVD
BONEHEADS BAR B QUE PNTO	8363 AIRPORT RD
FIREHOUSE LEMAY PNTO	3500 LEMAY FERRY RD
FRANK PAPAS PNTO	2241 S BRENTWOOD BLVD
MOTOR TOWN PNTO	8029 DALE AVE
WOMANS EXCHANGE PNTO	8811A LADUE ROAD
