DBA	LOCATION
RACK HOUSE	5065 N HIGHWAY N
URBAN AIR COTTLEVILLE	5993 MID RIVERS MALL DR
JPS HIDEOUT PUB AND GRILL	3915 MID RIVERS MALL DR
STS JOACHIM AND ANN CARE	4116 MCCLAY RD
HOLA ST PETERS	1287 JUNGERMANN RD
WASABI CLAYTON	7726 FORSYTH BLVD
PASTARIA  #102	7734 FORSYTH BLVD
FLIGHT CLUB STL	7710 FORSYTH BLVD
LE MERIDIEN CLAYTON STL	7730 BONHOMME AVE
MAXS BANQUET KITCHEN	7750 CARONDELET
FIVE IRON FR GOLF CLAYTON	8015 FORSYTH BLVD
RESIDENCE INN CLAYTON	8125 FORSYTH BLVD
THE CROSSING	7823 FORSYTH BLVD
SAINT LOUIS CLUB	7676 FORSYTH BLVD
QDOBA #3239 WASHINGTON UN	6475 FORSYTH BLVD
MI RANCHITO	887 KINGSLAND AVE
SUGARFIRE WASHINGTON	512 W FRONT ST
BIG BOY'S	919 JEFFERSON ST
CAFE MOSAIC	901 PATIENTS FIRST DR
LIONS CHOICE WASH #1002	531 STEWART CIRCLE DR
THE ALLEY	7 W MAIN ST
TIN MILL RESTAURANT	315 E 1ST ST
TIN MILL BREWERY	114 GUTENBERG ST
ECI CARDINAL NATION	601 CLARK AVE
SALT AND SMOKE BPV	501 CLARK AVE
LOEWS LIVE ST LOUIS	799 CLARK AVE
WESTIN HOTEL ST LOUIS	811 SPRUCE ST
DRURY PLAZA HOTEL #103	2 S 4TH ST
HODAK'S RESTAURANT AND BA	2100 GRAVOIS AVE
MOMENTUM FOX PARK	2617 SHENANDOAH AVE
CHAVAS	925 GEYER AVE
HI POINTE LASALLE PARK	1220 S 8TH ST
GATEWAY RIVERBOAT CRUISES	50 SLK SULLIVAN BPAPF1419
HILTON PENNYWELL ST LOUIS	400 OLIVE ST
FACTORY DINER PARK HILLS	239 W MAIN ST
QDOBA #2855 KARSCH BLVD	708 W KARSCH BLVD
SUGARFIRE FARMINGTON	670 WALTON DR
SUPER 8  #8044	930 VALLEY CREEK DRIVE
PASTA HOUSE FARMINGTON	931 VALLEY CREEK DR
CROWN POINTE LODGE	4245 HUNT RD
BRIGHT HORIZONS #0364	1340 AIR PARK DR
CLARKS MOUNTAIN NURSING	2100 BARNES
SWEET SPOT FLORISSANT	2575 N HIGHWAY 67
QDOBA #2205 HALLS FERRY	14039 NEW HALLS FERRY RD
DELMAR GARDENS NORTH	4401 N. PARKER RD.
GARDEN VILLA NORTH	4505 PARKER ROAD
ABELARDOS FLORISSANT	13101 NEW HALLS FERRY RD
MGM ST SOPHIA	936 CHARBONIER RD
MGM BENTWOOD NURS & REHAB	1501 CHARBONIER RD
THE RICE HOUSE	8438 N LINDBERGH BLVD
AUGUSTINE INSTITUTE	16805 NEW HALLS FERRY RD
THE RICE HOUSE II	2725 N HIGHWAY 67
LC FAIRWINDS RIVERS EDGE	600 RIVERS EDGE DR
LIONS CHOICE ST PETRS #04	3807 VETERANS MEM PKWY
TWISTED TAVERN WEST	3975 VETERANS MEMORIAL PK
PASTA HOUSE CO ST.PETERS	4095 VETERANS MEMORIAL PK
ABELARDOS SAINT PETERS	4199 VETERANS MEMORIAL PK
FSC 650 LTHRN SCHL ST CHL	5100 MEXICO RD
GULF SHORES ST PETERS	5256 N SERVICE RD
